2023-04-03 14:34:45.622 INFO  r.q.service.HopDongKTXService - OKLA
2023-04-03 15:56:08.454 ERROR r.q.service.HopDongKTXService - Contract already exists
2023-04-03 15:57:53.073 ERROR r.q.service.HopDongKTXService - Contract already exists
2023-04-03 15:59:14.890 ERROR r.q.service.HopDongKTXService - Contract already exists
2023-04-03 16:01:44.841 ERROR r.q.service.HopDongKTXService - This time not allowed
2023-04-03 16:02:40.083 ERROR r.q.service.HopDongKTXService - This time not allowed
2023-04-03 16:03:29.004 ERROR r.q.service.HopDongKTXService - This time not allowed
2023-04-03 16:04:35.106 ERROR r.q.service.HopDongKTXService - This time not allowed
2023-04-03 16:41:12.125 ERROR r.q.service.HopDongKTXService - This time not allowed
2023-04-03 16:41:23.510 ERROR r.q.service.HopDongKTXService - This time not allowed
2023-04-04 12:42:32.150 INFO  r.q.service.HopDongKTXService - check Room And Bed
2023-04-04 12:42:57.751 INFO  r.q.service.HopDongKTXService - check Room And Bed
2023-04-04 12:43:12.271 INFO  r.q.service.HopDongKTXService - check Room And Bed
2023-04-04 12:43:21.087 INFO  r.q.service.HopDongKTXService - check Room And Bed
2023-04-05 13:55:35.168 ERROR r.q.service.HopDongKTXService - This time not allowed
2023-04-05 13:57:38.945 ERROR r.q.service.HopDongKTXService - This time not allowed
2023-04-05 14:00:15.896 INFO  r.q.service.HopDongKTXService - check Room And Bed
2023-04-05 14:02:18.722 INFO  r.q.service.HopDongKTXService - check Room And Bed
2023-04-05 14:11:02.438 INFO  r.q.service.HopDongKTXService - check Room And Bed
